Time,NS,UD,EW
33.836,609002.0,-168433.40192711353,65921.0
33.84,600819.0,-108099.95037174225,-105941.0
33.844,381825.0,25705.376431703568,-137635.0
33.848,38322.0,172175.9057122469,-31267.0
33.852000000000004,-288096.0,252577.54230427742,125436.0
33.856,-471955.0,222837.61699438095,239268.0
33.86,-461918.0,102380.73396599293,273259.0
33.864,-301087.0,-37304.253769636154,242008.0
33.868,-97790.0,-114226.58770978451,170703.0
33.872,44636.0,-86303.83186781406,80136.0
33.876,90983.0,18367.292781710625,5559.0
33.88,77302.0,117067.71775090694,124.0
33.884,57385.0,130628.88572955132,92941.0
33.888,49897.0,43720.23207950592,237875.0
33.892,33469.0,-81330.95292210579,319724.0
33.896,-16697.0,-149791.19015347958,237410.0
33.9,-93504.0,-103050.45465779305,-1453.0
33.904,-157059.0,40240.02805387974,-270082.0
33.908,-165446.0,194799.4853131771,-417470.0
33.912,-107193.0,258866.42691624165,-382491.0
33.916000000000004,-8487.0,172136.2452675104,-222383.0
33.92,84416.0,-47634.89824974537,-45194.0
33.924,127815.0,-305165.4892773628,72189.0
33.928,97393.0,-468265.4627611637,112417.0
33.932,762.0,-435277.8878515959,99084.0
33.936,-119641.0,-195644.07251131535,69611.0
33.94,-202481.0,153995.19729554653,56517.0
33.944,-196644.0,452285.007653594,74481.0
33.948,-87363.0,554579.2097401619,112174.0
33.952,91855.0,409389.5325498581,134910.0
33.956,267267.0,85872.07384443283,104061.0
33.96,356044.0,-263014.5488861799,8117.0
33.964,311717.0,-480476.3728712797,-115279.0
33.968,154941.0,-485017.49379360676,-192463.0
33.972,-39591.0,-302486.60651016235,-167044.0
33.976,-192105.0,-33611.32554042339,-53703.0
33.980000000000004,-260021.0,211247.75339388847,64992.0
33.984,-246735.0,360375.532471776,104107.0
33.988,-185908.0,392098.4800184965,43407.0
33.992,-115831.0,321063.9193742275,-60674.0
33.996,-54158.0,176858.54231238365,-119273.0
34.0,6472.0,-10709.221452593803,-76273.0
34.004,72690.0,-209352.1644102335,47233.0
34.008,124875.0,-370817.9472961426,163622.0
34.012,127941.0,-431455.16180324554,185497.0
34.016,67435.0,-345206.31373381615,97834.0
34.02,-31097.0,-129590.50317645073,-29675.0
34.024,-115609.0,121313.1880851984,-103601.0
34.028,-136411.0,282035.33763229847,-87035.0
34.032000000000004,-73101.0,273742.69918739796,-28138.0
34.036,50437.0,115809.40000426769,-10372.0
34.04,174178.0,-91386.67841029167,-69735.0
34.044000000000004,232231.0,-235797.56868577003,-162623.0
34.048,187335.0,-258358.05212461948,-216968.0
34.052,53594.0,-173667.67925858498,-204101.0
34.056,-103054.0,-46336.018684625626,-152450.0
34.06,-195709.0,55530.03087353706,-103304.0
34.064,-168699.0,99119.5637601614,-69252.0
34.068,-35323.0,92945.15361368656,-34626.0
34.072,130323.0,62351.627368211746,15528.0
34.076,242503.0,22239.59438598156,74220.0
34.08,255378.0,-26907.809006214142,117326.0
34.084,180743.0,-80827.9863729477,124462.0
34.088,69935.0,-118711.82345998287,96927.0
34.092,-18098.0,-116075.30525875092,59068.0
34.096000000000004,-46090.0,-68067.23827898502,38717.0
34.1,-16188.0,4732.212156057358,42069.0
34.104,34940.0,70706.46060144901,51224.0
34.108000000000004,64265.0,103805.8058552742,48022.0
34.112,53018.0,92502.5791053772,31475.0
34.116,16566.0,43460.636441230774,5535.0
34.12,-10160.0,-20719.87825357914,-40185.0
34.124,-284.0,-72108.99814713001,-123084.0
